.provi04;
14006301;VOLEY PLAYA AD 2014 BRASIL
14006401;ATLETISMO ACT 1 PERU
14006402;ATLETISMO ACT 2 CURICO
14006403;ATLETISMO ACT 3 CONCEPCION
14007201;P-072 RUGBY AD 2014 ARGENTINA
14007202;P-072 RUGBY AD 2014 USA
14008601;VOLEY PLAYA, VIATICOS
14008602;LIGA VOLEY PLAYA 2014, GASTOS GENERALES
14008901;TIRO CON ARCO AD 2014 RM
14009001;ESGRIMA ACT 1
14009002;ESGRIMA ACT 2 ITALIA
14009301;ACT 1 PATINAJE ARTISTICO USA
14009302;ACT 2 PATINAJE ART. ITALIA
14009303;ACT 3 CONCENTRADO NACIONAL  PATIN
14009304;ACT 4  COLOMBIA PATIN
14009401;RACQUETBOL AD 2014 EEUU
14009601;P-096 TENIS AD 2014 BELGICA
14009602;P-096 TENIS AD 2014 VENEZUELA
14009603;P-096 TENIS AD 2014 BRASIL
14009604;P-096 TENIS AD 2014 ARGENT.
14009605;P-096 TENIS AD 2014 ARGENTINA
14009606;P-096 TENIS AD 2014 PARAGUAY
14009607;P-096 TENIS AD 2014 BOLIVIA
14009610;
14009701;ACT  1 BALONMANO DINAMARCA
14010000;
14010301;LIGA MASCULINA BASKET PRODUCTO 1, TRANSPORTE
14010302;LIGA MASCULINA BASKET PRODUCTO 2, VIATICOS
14010801;(GIMNASIA) KINESIOLOGA T. GONZALEZ 2014
14011001;(NATACION) KRISTEL KOBRICH TECNICO 2014
14011002;(NATACION) DANIEL GARIMALDI K.K
14011201;(NATACION) SELECCION HEAD COACH
14012701;(BOXEO) HEAD COACH JESUS MARTINEZ
14013001;(ADMINISTRACION) ADO 2014
14013002;(ADMINISTRACION) ADO 2014 ACT 2
14013201;SKI AD 2014 FRANCIA
14013501;TKD AD 2014 RM
14013502;TKD AD 2014 EEUU
14013503;TKD AD 2014 MEXICO
14017601;(ADMINISTRACION) PROD 1
14018201;GOLF ACT 1 USA
14018202;GOLF ACT 2 COLOMBIA
